name,pcode,mean,std,max,min,q90,time_of_prediction
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-04 23:00:00
Busongora,UG411502,0.008928571428571428,0.06621605792049699,0.5,0.0,0.0,2023-04-04 23:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-04 23:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 00:00:00
Busongora,UG411502,0.0035714285714285718,0.0264864231681988,0.2,0.0,0.0,2023-04-05 00:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 00:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 01:00:00
Busongora,UG411502,0.017857142857142856,0.10019114385075382,0.7,0.0,0.0,2023-04-05 01:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 01:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 02:00:00
Busongora,UG411502,0.023214285714285715,0.13756955569115292,1.0,0.0,0.0,2023-04-05 02:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 02:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 03:00:00
Busongora,UG411502,0.05178571428571429,0.22755774104653984,1.2,0.0,0.0,2023-04-05 03:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 03:00:00
Bukonjo,UG411501,0.024999999999999998,0.12990381056766578,0.7,0.0,0.0,2023-04-05 04:00:00
Busongora,UG411502,0.09107142857142857,0.4774473739565013,3.3,0.0,0.0,2023-04-05 04:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 04:00:00
Bukonjo,UG411501,0.04642857142857143,0.24124993391137933,1.3,0.0,0.0,2023-04-05 05:00:00
Busongora,UG411502,0.08035714285714286,0.36273743104007206,2.4,0.0,0.0,2023-04-05 05:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 05:00:00
Bukonjo,UG411501,0.03571428571428571,0.1855768722395226,1.0,0.0,0.0,2023-04-05 06:00:00
Busongora,UG411502,0.014285714285714285,0.09340497736158586,0.7,0.0,0.0,2023-04-05 06:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 06:00:00
Bukonjo,UG411501,0.010714285714285716,0.04087686836521285,0.2,0.0,0.0,2023-04-05 07:00:00
Busongora,UG411502,0.0035714285714285718,0.0264864231681988,0.2,0.0,0.0,2023-04-05 07:00:00
